year,month,day,mean_temp_fl,mean_temp_fn,pred_mean_temp_fl,max_temp_fl,min_temp_fl,max_temp_fn,min_temp_fn,pred_max_temp_fl,pred_min_temp_fl
1990,1,1,-17.5,-16.9,-17.95857,-12.5,-22.5,-13.7,-20,-14.98891,-20.61501
1990,1,2,-32,-25.8,-27.12263,-30,-34,-19.6,-32,-21.05204,-32.83828
1990,1,3,-35.3,-28.7,-30.10868,-33,-37.5,-24.2,-33.1,-25.77922,-33.95874
1990,1,4,-30.3,-24.1,-25.3722,-26.5,-34,-21,-27.2,-22.49075,-27.94897
1990,1,5,-26.3,-23,-24.23956,-23,-29.5,-20.2,-25.8,-21.66863,-26.52292
1990,1,6,-26.8,-23.3,-24.54846,-21.5,-32,-19.5,-27,-20.94927,-27.74525
1990,1,7,-23,-22.6,-23.82769,-20,-26,-19.7,-25.5,-21.1548,-26.21734
1990,1,8,-19.8,-18.1,-19.19417,-18,-21.5,-14.1,-22.1,-15.39997,-22.75408
1990,1,9,-20.5,-17.6,-18.67934,-19,-22,-12.6,-22.5,-13.8585,-23.16152
1990,1,10,-26.5,-21.3,-22.48912,-24,-29,-18.2,-24.4,-19.61333,-25.09687
1990,1,11,-20,-16.6,-17.64967,-14,-26,-12.5,-20.6,-13.75573,-21.22617
1990,1,12,-24,-18.2,-19.29714,-23,-25,-14,-22.4,-15.29721,-23.05966
1990,1,13,-12.8,-15.8,-16.82593,-2.5,-23,-11.9,-19.7,-13.13914,-20.30943
1990,1,14,-7.3,-10.1,-10.95681,0.5,-15,-1.7,-18.4,-2.65713,-18.98524
1990,1,15,-16.3,-13.2,-14.14879,-15,-17.5,-6.7,-19.7,-7.795372,-20.30943
1990,1,16,-15.3,-14.6,-15.59033,-14,-16.5,-10.8,-18.4,-12.00873,-18.98524
1990,1,17,-17.5,-14.4,-15.38439,-15,-20,-10.2,-18.5,-11.39214,-19.0871
1990,1,18,-20,-14.3,-15.28143,-19.5,-20.5,-10.5,-18,-11.70044,-18.5778
1990,1,19,-20.8,-17.6,-18.67934,-17.5,-24,-14.1,-21.1,-15.39997,-21.73548
1990,1,20,-18.8,-11.5,-12.39835,-16,-21.5,-5.9,-17,-6.973254,-17.55919
1990,1,21,-17.5,-10.2,-11.05978,-13,-22,-3.7,-16.7,-4.712427,-17.25361
1990,1,22,-20.5,-13.6,-14.56066,-20,-21,-11.1,-16.1,-12.31703,-16.64245
1990,1,23,-22.3,-19,-20.12088,-19,-25.5,-14.8,-23.1,-16.11933,-23.77269
1990,1,24,-22.5,-21.6,-22.79802,-20,-25,-18.2,-24.9,-19.61333,-25.60618
1990,1,25,-22.5,-21.5,-22.69505,-19.5,-25.5,-19.6,-23.4,-21.05204,-24.07827
1990,1,26,-26.5,-25.3,-26.6078,-24,-29,-21,-29.5,-22.49075,-30.29176
1990,1,27,-29.8,-27.9,-29.28494,-29,-30.5,-25.2,-30.6,-26.80687,-31.41223
1990,1,28,-38,-30.7,-32.16802,-37,-39,-27.6,-33.7,-29.27323,-34.56991
1990,1,29,-39.3,-35.9,-37.52231,-34,-44.5,-31,-40.7,-32.76723,-41.70015
1990,1,30,-39.8,-37.9,-39.58165,-36,-43.5,-32.9,-42.9,-34.71976,-43.94108
1990,1,31,-38,-36.5,-38.14011,-34,-42,-30.8,-42.2,-32.5617,-43.22805
1990,2,1,-38.5,-36.7,-38.34604,-33,-44,-31.8,-41.5,-33.58935,-42.51503
1990,2,2,-33,-30.8,-32.27098,-29,-37,-25.1,-36.5,-26.70411,-37.422
1990,2,3,-31.5,-30.1,-31.55022,-30,-33,-25.6,-34.6,-27.21793,-35.48665
1990,2,4,-31,-28.4,-29.79978,-27.5,-34.5,-24,-32.8,-25.57369,-33.65316
1990,2,5,-28,-27.9,-29.28494,-26.5,-29.5,-26.4,-29.4,-28.04005,-30.1899
1990,2,6,-25.5,-25.4,-26.71077,-23,-28,-22.9,-27.9,-24.44328,-28.66199
1990,2,7,-27,-26.5,-27.8434,-27,-27,-23.7,-29.2,-25.2654,-29.98618
1990,2,8,-32.3,-27.8,-29.18197,-26,-38.5,-23.2,-32.4,-24.75157,-33.24572
1990,2,9,-31.3,-29.9,-31.34428,-25.5,-37,-24.5,-35.3,-26.08752,-36.19967
1990,2,10,-27.8,-23.4,-24.65143,-25,-30.5,-20.1,-26.6,-21.56586,-27.33781
1990,2,11,-27.8,-25.4,-26.71077,-24.5,-31,-22.3,-28.5,-23.82669,-29.27316
1990,2,12,-34.8,-25.8,-27.12263,-30,-39.5,-17.6,-34,-18.99674,-34.87549
1990,2,13,-25.8,-24,-25.26923,-14,-37.5,-15.4,-32.5,-16.73591,-33.34758
1990,2,14,-24.5,-22.2,-23.41582,-22.5,-26.5,-17.8,-26.5,-19.20227,-27.23594
1990,2,15,-30,-31.4,-32.88879,-25,-35,-25.4,-37.3,-27.0124,-38.23689
1990,2,16,-25.5,-29,-30.41758,-15,-36,-20.8,-37.2,-22.28522,-38.13503
1990,2,17,-18.8,-21.2,-22.38615,-12.5,-25,-14.3,-28.1,-15.6055,-28.86572
1990,2,18,-15,-15.7,-16.72296,-10,-20,-10.5,-20.8,-11.70044,-21.42989
1990,2,19,-13.5,-6.4,-7.147029,-7.5,-19.5,4.5,-17.3,3.714291,-17.86477
1990,2,20,-20,-17.4,-18.4734,-17.5,-22.5,-4.7,-30.1,-5.740076,-30.90293
1990,2,21,-21,-16.7,-17.75264,-19.5,-22.5,-14,-19.4,-15.29721,-20.00385
1990,2,22,-20.5,-13.7,-14.66362,-19,-22,-10.7,-16.7,-11.90597,-17.25361
1990,2,23,-23.3,-18.2,-19.29714,-16,-30.5,-16,-20.3,-17.3525,-20.92059
1990,2,24,-12,-12.5,-13.42802,-5,-19,-7.2,-17.8,-8.309196,-18.37407
1990,2,25,-12,-10.3,-11.16274,-10,-14,-5.2,-15.4,-6.2539,-15.92942
1990,2,26,-6,-4.5,-5.190655,8,-20,7.2,-16.2,6.488942,-16.74431
1990,2,27,0.5,-3.3,-3.955051,9,-8,4.2,-10.8,3.405996,-11.24384
1990,2,28,0.5,2,1.502202,7,-6,10.3,-6.3,9.674652,-6.660111
1990,3,1,-11.5,-6.4,-7.147029,-7,-16,-2.1,-10.6,-3.068189,-11.04012
1990,3,2,-5.3,-6,-6.735161,4,-14.5,2.8,-14.7,1.967288,-15.2164
1990,3,3,-5.5,-1.5,-2.101644,4,-15,9.2,-12.1,8.544238,-12.56802
1990,3,4,-1,1.6,1.090334,12,-14,11.6,-8.5,11.0106,-8.901044
1990,3,5,0.5,-0.2,-0.7630726,10,-9,9.4,-9.7,8.749768,-10.12337
1990,3,6,2,3.4,2.943741,9,-5,7,-0.2,6.283412,-0.4466169
1990,3,7,-11,-0.7,-1.277908,-7,-15,3.4,-4.7,2.583878,-5.030342
1990,3,8,-13,-8.5,-9.309337,-5,-21,-1.2,-15.7,-2.143306,-16.235
1990,3,9,-14.3,-8.3,-9.103403,-6.5,-22,2.5,-19,1.658994,-19.5964
1990,3,10,-15.8,-8.7,-9.515271,-11.5,-20,-4.5,-12.9,-5.534546,-13.38291
1990,3,11,-13,-9.3,-10.13307,-4,-22,-3.8,-14.7,-4.815192,-15.2164
1990,3,12,-5,-8.4,-9.206369,3,-13,-0.8,-16,-1.732246,-16.54059
1990,3,13,-1.5,-0.6,-1.174941,8,-11,7.5,-8.6,6.797236,-9.002905
1990,3,14,-0.3,-0.3,-0.8660397,4,-4.5,6.7,-7.2,5.975117,-7.576856
1990,3,15,-0.8,2.8,2.325938,6,-7.5,11.4,-5.8,10.80507,-6.150809
1990,3,16,-4.5,-1.4,-1.998677,3,-12,4.2,-6.9,3.405996,-7.271275
1990,3,17,-0.3,-0.2,-0.7630726,12,-12.5,9.3,-9.7,8.647004,-10.12337
1990,3,18,-3,-1.1,-1.689776,3,-9,5.2,-7.4,4.433644,-7.780578
1990,3,19,-12.5,-8,-8.794502,-12,-13,-1.5,-14.5,-2.4516,-15.01268
1990,3,20,-15.5,-14.4,-15.38439,-7,-24,-10.8,-18,-12.00873,-18.5778
1990,3,21,-12.3,-12.2,-13.11912,-5,-19.5,-6.1,-18.2,-7.178783,-18.78152
1990,3,22,-7.8,-9.2,-10.03011,5,-20.5,0.3,-18.6,-0.601833,-19.18896
1990,3,23,-2.8,-4,-4.67582,9,-14.5,6.2,-14.2,5.461293,-14.7071
1990,3,24,-1.5,-1.6,-2.204611,7.5,-10.5,7.2,-10.3,6.488942,-10.73453
1990,3,25,-2,-2.5,-3.131315,6,-10,5.2,-10.2,4.433644,-10.63267
1990,3,26,-3.3,1.3,0.7814329,3,-9.5,9.2,-6.7,8.544238,-7.067554
1990,3,27,1.5,4.3,3.870444,13.5,-10.5,12.2,-3.7,11.62718,-4.011737
1990,3,28,3.5,7.1,6.753521,13,-6,15.4,-1.2,14.91566,-1.465223
1990,3,29,2.8,6.1,5.723851,11.5,-6,13.5,-1.4,12.96313,-1.668944
1990,3,30,1.8,6.4,6.032752,11.5,-8,9.7,3,9.058063,2.812921
1990,3,31,2.3,4.9,4.488246,10,-5.5,11.1,-1.4,10.49677,-1.668944
1990,4,1,1.8,4.6,4.179345,7,-3.5,9,0.1,8.338709,-0.1410352
1990,4,2,0.8,2.2,1.708136,6.5,-5,8.8,-4.4,8.13318,-4.724761
1990,4,3,1.3,1.5,0.9873671,3,-0.5,7,-4,6.283412,-4.317318
1990,4,4,0.8,3.4,2.943741,7,-5.5,10.2,-3.4,9.571887,-3.706155
1990,4,5,4.3,4.2,3.767477,10.5,-2,10.4,-2.1,9.777416,-2.381968
1990,4,6,3.8,4.9,4.488246,11.5,-4,9.8,0,9.160828,-0.2428958
1990,4,7,1.5,-1.2,-1.792743,8.5,-5.5,4.5,-6.8,3.714291,-7.169415
1990,4,8,-0.5,-4.3,-4.984722,6,-7,-0.2,-8.4,-1.115657,-8.799183
1990,4,9,-1.3,-1.8,-2.410545,7.5,-10,4.8,-8.4,4.022585,-8.799183
1990,4,10,4.3,2.4,1.91407,14.5,-6,11,-6.2,10.39401,-6.55825
1990,4,11,-0.5,0.3,-0.2482374,4,-5,7.3,-6.8,6.591707,-7.169415
1990,4,12,3,-1.4,-1.998677,10.5,-4.5,2.5,-5.3,1.658994,-5.641506
1990,4,13,1.5,2.8,2.325938,5.5,-2.5,9.6,-4,8.955298,-4.317318
1990,4,14,3.3,3.9,3.458576,10.5,-4,9.5,-1.8,8.852533,-2.076386
1990,4,15,6.8,3.6,3.149675,17.5,-4,9.3,-2.2,8.647004,-2.483828
1990,4,16,8.3,7.4,7.062423,18.5,-2,17.4,-2.7,16.97096,-2.993131
1990,4,17,9,7.4,7.062423,19.5,-1.5,18.1,-3.3,17.69031,-3.604294
1990,4,18,4.3,9.1,8.812862,10,-1.5,17.5,0.7,17.07372,0.4701281
1990,4,19,9.5,11.6,11.38704,18,1,17.7,5.4,17.27925,5.257575
1990,4,20,9,10.4,10.15143,16.5,1.5,18.1,2.6,17.69031,2.405479
1990,4,21,8.5,9.2,8.915829,14,3,15.4,3,14.91566,2.812921
1990,4,22,7.5,5.7,5.311983,13,2,10.7,0.7,10.08571,0.4701281
1990,4,23,3.8,5.6,5.209016,6,1.5,8,3.2,7.31106,3.016642
1990,4,24,1,2.3,1.811103,3,-1,4.5,0.1,3.714291,-0.1410352
1990,4,25,1.3,0.6,0.0606637,3.5,-1,2.9,-1.8,2.070053,-2.076386
1990,4,26,1.5,0.2,-0.3512045,7,-4,4.4,-4,3.611526,-4.317318
1990,4,27,2.5,1.5,0.9873671,11.5,-6.5,7.9,-5,7.208296,-5.335924
1990,4,28,4.5,3.4,2.943741,13,-4,11,-4.2,10.39401,-4.521039
1990,4,29,9.3,7.5,7.16539,19.5,-1,18.1,-3.2,17.69031,-3.502434
1990,4,30,6.3,5.7,5.311983,12,0.5,11.8,-0.4,11.21613,-0.6503381
1990,5,1,8.3,6.6,6.238686,13,3.5,12.3,0.8,11.72995,0.5719887
1990,5,2,9,8.1,7.783192,15,3,14.5,1.6,13.99078,1.386873
1990,5,3,10.5,10.1,9.842533,18,3,18.9,1.2,18.51243,0.979431
1990,5,4,11.8,11.5,11.28407,20,3.5,20.9,2,20.56773,1.794315
1990,5,5,10.5,12.5,12.31374,15,6,20.9,4.1,20.56773,3.933387
1990,5,6,2.5,8.7,8.400993,4,1,15.8,1.5,15.32672,1.285013
1990,5,7,5.8,4.8,4.38528,10,1.5,8.9,0.6,8.235944,0.3682676
1990,5,8,9.3,8.1,7.783192,17,1.5,15.2,1,14.71013,0.7757098
1990,5,9,3.5,5.3,4.900115,5,2,10.3,0.3,9.674652,0.0626859
1990,5,10,5.5,2.5,2.017037,10,1,5.4,-0.5,4.639174,-0.7521986
1990,5,11,7,4.6,4.179345,15.5,-1.5,11.1,-2,10.49677,-2.280107
1990,5,12,8.8,5.4,5.003082,17,0.5,13.6,-2.8,13.06589,-3.094991
1990,5,13,11.3,7.3,6.959455,17.5,5,15.5,-0.9,15.01842,-1.159641
1990,5,14,9.8,7.1,6.753521,17.5,2,15.5,-1.3,15.01842,-1.567083
1990,5,15,9.3,9.6,9.327698,16.5,2,14.5,4.6,13.99078,4.44269
1990,5,16,8,8.2,7.886158,14,2,17,-0.7,16.5599,-0.9559197
1990,5,17,9.3,8.1,7.783192,15,3.5,15.7,0.5,15.22395,0.266407
